load,relative_distance,stop_time
3.500001973870132,0.259418212258135,0.021
3.750001735172784,0.240265637744822,0.021
4.000020053367023,0.2239984473500162,0.021
0.0999998951425018,1.0852096681129435,0.028
0.1500001117040854,1.086530481760736,0.028
0.199999984496,1.0876385760256864,0.028
0.2499999484427088,1.0890726141028433,0.028
0.3000014202286559,1.0903099234538467,0.028
0.3499995500100322,1.0905485678468678,0.028
0.3999998932800018,1.0911392330131446,0.028
0.4500014509399122,1.0918227227636066,0.028
0.5000007000834094,1.091300763011678,0.028
0.5500007009567421,1.090999371634662,0.028
0.5999989725868278,1.090004133499807,0.028
0.6499998509512533,1.0881887667935948,0.028
0.6999987310585754,1.083326365901891,0.028
0.7500011670522866,1.0777242257715811,0.028
0.8000001701600045,1.0661124294739803,0.028
